TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
10081,2024-10-02 15:52:35.516068,2401.5,540,refund,Dallas,1
71218,2024-05-22 20:10:35.894414,147.13,280,purchase,San Diego,0
73073,2024-08-14 00:22:35.904646,986.03,956,refund,Phoenix,0
75530,2024-01-14 15:13:35.917183,4522.67,122,refund,Chicago,0
30537,2024-01-23 21:17:35.611377,2066.09,537,refund,Houston,0
9615,2024-09-05 19:46:35.514084,2292.39,69,refund,San Diego,0
27140,2024-01-15 20:30:35.598081,372.52,891,refund,Chicago,0
21651,2024-09-28 09:01:35.565158,406.53,976,refund,San Diego,0
21386,2023-10-27 02:41:35.564088,2279.31,357,refund,Houston,0
71046,2024-05-15 07:38:35.893415,4523.52,939,refund,Los Angeles,0
89215,2024-03-20 08:15:35.982077,3733.55,715,purchase,Philadelphia,0
34181,2023-12-18 22:00:35.635034,1360.47,363,purchase,Philadelphia,0
69614,2024-01-03 11:31:35.885711,195.28,311,purchase,Dallas,0
1717,2024-04-03 10:50:35.471262,1765.28,44,refund,Los Angeles,0
33016,2024-05-10 03:20:35.627237,2228.73,881,purchase,San Diego,0
55158,2024-05-01 06:36:35.799717,2015.43,811,refund,Los Angeles,0
75411,2024-01-13 19:58:35.916659,897.45,604,refund,Los Angeles,0
64024,2024-06-10 19:50:35.846588,1227.25,746,refund,Dallas,0
46783,2024-04-14 01:08:35.729241,4301.57,739,refund,San Diego,0
35169,2024-03-01 19:47:35.648183,238.41,681,purchase,Houston,0
80638,2023-11-12 08:51:35.941207,4650.77,414,refund,San Antonio,0
21433,2024-05-05 12:49:35.564387,1200.58,549,purchase,Chicago,0
73258,2024-08-01 04:17:35.905664,3899.75,810,purchase,Phoenix,0
86278,2023-11-01 05:59:35.962366,830.22,335,refund,Houston,0
87356,2023-12-16 10:48:35.966283,3268.84,588,purchase,Houston,0
66558,2024-10-14 04:50:35.858105,332.53,404,refund,San Diego,0
43501,2024-06-04 04:07:35.708759,1654.45,556,purchase,Chicago,0
